verison,term_localName
http://rs.tdwg.org/ltc/terms/version/Address-2023-08-01,Address
http://rs.tdwg.org/ltc/terms/version/addressCountry-2023-08-01,addressCountry
http://rs.tdwg.org/ltc/terms/version/addressLocality-2023-08-01,addressLocality
http://rs.tdwg.org/ltc/terms/version/addressRegion-2023-08-01,addressRegion
http://rs.tdwg.org/ltc/terms/version/addressType-2023-08-01,addressType
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/postalCode-2023-08-01,postalCode
http://rs.tdwg.org/ltc/terms/version/postOfficeBoxNumber-2023-08-01,postOfficeBoxNumber
http://rs.tdwg.org/ltc/terms/version/streetAddress-2023-08-01,streetAddress
http://rs.tdwg.org/ltc/terms/version/ChronometricAge-2023-08-01,ChronometricAge
http://rs.tdwg.org/ltc/terms/version/chronometricAgeProtocol-2023-08-01,chronometricAgeProtocol
http://rs.tdwg.org/ltc/terms/version/chronometricAgeRemarks-2023-08-01,chronometricAgeRemarks
http://rs.tdwg.org/ltc/terms/version/chronometricAgeUncertaintyInYears-2023-08-01,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/ltc/terms/version/earliestChronometricAge-2023-08-01,earliestChronometricAge
http://rs.tdwg.org/ltc/terms/version/earliestChronometricAgeReferenceSystem-2023-08-01,earliestChronometricAgeReferenceSystem
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/latestChronometricAge-2023-08-01,latestChronometricAge
http://rs.tdwg.org/ltc/terms/version/latestChronometricAgeReferenceSystem-2023-08-01,latestChronometricAgeReferenceSystem
http://rs.tdwg.org/ltc/terms/version/verbatimChronometricAge-2023-08-01,verbatimChronometricAge
http://rs.tdwg.org/ltc/terms/version/CollectionStatusHistory-2023-08-01,CollectionStatusHistory
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasTemporalCoverage-2023-08-01,hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/version/status-2023-08-01,status
http://rs.tdwg.org/ltc/terms/version/statusChangeReason-2023-08-01,statusChangeReason
http://rs.tdwg.org/ltc/terms/version/statusType-2023-08-01,statusType
http://rs.tdwg.org/ltc/terms/version/ContactDetail-2023-08-01,ContactDetail
http://rs.tdwg.org/ltc/terms/version/contactDetailCategory-2023-08-01,contactDetailCategory
http://rs.tdwg.org/ltc/terms/version/contactDetailFunction-2023-08-01,contactDetailFunction
http://rs.tdwg.org/ltc/terms/version/contactDetailValue-2023-08-01,contactDetailValue
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/EcologicalContext-2023-08-01,EcologicalContext
http://rs.tdwg.org/ltc/terms/version/biogeographicRealm-2023-08-01,biogeographicRealm
http://rs.tdwg.org/ltc/terms/version/biome-2023-08-01,biome
http://rs.tdwg.org/ltc/terms/version/biomeType-2023-08-01,biomeType
http://rs.tdwg.org/ltc/terms/version/bioregion-2023-08-01,bioregion
http://rs.tdwg.org/ltc/terms/version/ecoregion-2023-08-01,ecoregion
http://rs.tdwg.org/ltc/terms/version/ecosystem-2023-08-01,ecosystem
http://rs.tdwg.org/ltc/terms/version/habitat-2023-08-01,habitat
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/Event-2023-08-01,Event
http://rs.tdwg.org/ltc/terms/version/eventName-2023-08-01,eventName
http://rs.tdwg.org/ltc/terms/version/hasEcologicalContext-2023-08-01,hasEcologicalContext
http://rs.tdwg.org/ltc/terms/version/hasGeographicContext-2023-08-01,hasGeographicContext
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasParentEvent-2023-08-01,hasParentEvent
http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,hasPersonRole
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasTemporalCoverage-2023-08-01,hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/version/samplingProtocol-2023-08-01,samplingProtocol
http://rs.tdwg.org/ltc/terms/version/verbatimEventDate-2023-08-01,verbatimEventDate
http://rs.tdwg.org/ltc/terms/version/GeographicContext-2023-08-01,GeographicContext
http://rs.tdwg.org/ltc/terms/version/continent-2023-08-01,continent
http://rs.tdwg.org/ltc/terms/version/country-2023-08-01,country
http://rs.tdwg.org/ltc/terms/version/countryCode-2023-08-01,countryCode
http://rs.tdwg.org/ltc/terms/version/county-2023-08-01,county
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/island-2023-08-01,island
http://rs.tdwg.org/ltc/terms/version/islandGroup-2023-08-01,islandGroup
http://rs.tdwg.org/ltc/terms/version/locality-2023-08-01,locality
http://rs.tdwg.org/ltc/terms/version/municipality-2023-08-01,municipality
http://rs.tdwg.org/ltc/terms/version/region-2023-08-01,region
http://rs.tdwg.org/ltc/terms/version/stateProvince-2023-08-01,stateProvince
http://rs.tdwg.org/ltc/terms/version/waterBody-2023-08-01,waterBody
http://rs.tdwg.org/ltc/terms/version/waterBodyType-2023-08-01,waterBodyType
http://rs.tdwg.org/ltc/terms/version/GeologicalContext-2023-08-01,GeologicalContext
http://rs.tdwg.org/ltc/terms/version/bed-2023-08-01,bed
http://rs.tdwg.org/ltc/terms/version/earliestAgeOrLowestStage-2023-08-01,earliestAgeOrLowestStage
http://rs.tdwg.org/ltc/terms/version/earliestEonOrLowestEonothem-2023-08-01,earliestEonOrLowestEonothem
http://rs.tdwg.org/ltc/terms/version/earliestEpochOrLowestSeries-2023-08-01,earliestEpochOrLowestSeries
http://rs.tdwg.org/ltc/terms/version/earliestEraOrLowestErathem-2023-08-01,earliestEraOrLowestErathem
http://rs.tdwg.org/ltc/terms/version/earliestPeriodOrLowestSystem-2023-08-01,earliestPeriodOrLowestSystem
http://rs.tdwg.org/ltc/terms/version/formation-2023-08-01,formation
http://rs.tdwg.org/ltc/terms/version/group-2023-08-01,group
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/latestAgeOrHighestStage-2023-08-01,latestAgeOrHighestStage
http://rs.tdwg.org/ltc/terms/version/latestEonOrHighestEonothem-2023-08-01,latestEonOrHighestEonothem
http://rs.tdwg.org/ltc/terms/version/latestEpochOrHighestSeries-2023-08-01,latestEpochOrHighestSeries
http://rs.tdwg.org/ltc/terms/version/latestEraOrHighestErathem-2023-08-01,latestEraOrHighestErathem
http://rs.tdwg.org/ltc/terms/version/latestPeriodOrHighestSystem-2023-08-01,latestPeriodOrHighestSystem
http://rs.tdwg.org/ltc/terms/version/member-2023-08-01,member
http://rs.tdwg.org/ltc/terms/version/supergroup-2023-08-01,supergroup
http://rs.tdwg.org/ltc/terms/version/Identifier-2023-08-01,Identifier
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/identifierSource-2023-08-01,identifierSource
http://rs.tdwg.org/ltc/terms/version/identifierType-2023-08-01,identifierType
http://rs.tdwg.org/ltc/terms/version/identifierValue-2023-08-01,identifierValue
http://rs.tdwg.org/ltc/terms/version/LatimerCoreScheme-2023-08-01,LatimerCoreScheme
http://rs.tdwg.org/ltc/terms/version/basisOfScheme-2023-08-01,basisOfScheme
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasObjectGroup-2023-08-01,hasObjectGroup
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasSchemeMeasurementOrFact-2023-08-01,hasSchemeMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasSchemeTerm-2023-08-01,hasSchemeTerm
http://rs.tdwg.org/ltc/terms/version/isDistinctObjects-2023-08-01,isDistinctObjects
http://rs.tdwg.org/ltc/terms/version/schemeName-2023-08-01,schemeName
http://rs.tdwg.org/ltc/terms/version/MeasurementOrFact-2023-08-01,MeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/measurementAccuracy-2023-08-01,measurementAccuracy
http://rs.tdwg.org/ltc/terms/version/measurementDerivation-2023-08-01,measurementDerivation
http://rs.tdwg.org/ltc/terms/version/measurementFactText-2023-08-01,measurementFactText
http://rs.tdwg.org/ltc/terms/version/measurementMethod-2023-08-01,measurementMethod
http://rs.tdwg.org/ltc/terms/version/measurementRemarks-2023-08-01,measurementRemarks
http://rs.tdwg.org/ltc/terms/version/measurementType-2023-08-01,measurementType
http://rs.tdwg.org/ltc/terms/version/measurementUnit-2023-08-01,measurementUnit
http://rs.tdwg.org/ltc/terms/version/measurementValue-2023-08-01,measurementValue
http://rs.tdwg.org/ltc/terms/version/ObjectClassification-2023-08-01,ObjectClassification
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasObjectClassification-2023-08-01,hasObjectClassification
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/isTopParent-2023-08-01,isTopParent
http://rs.tdwg.org/ltc/terms/version/objectClassificationLevel-2023-08-01,objectClassificationLevel
http://rs.tdwg.org/ltc/terms/version/objectClassificationName-2023-08-01,objectClassificationName
http://rs.tdwg.org/ltc/terms/version/ObjectGroup-2023-08-01,ObjectGroup
http://rs.tdwg.org/ltc/terms/version/alternativeCollectionName-2023-08-01,alternativeCollectionName
http://rs.tdwg.org/ltc/terms/version/baseTypeOfObjectGroup-2023-08-01,baseTypeOfObjectGroup
http://rs.tdwg.org/ltc/terms/version/collectionManagementSystem-2023-08-01,collectionManagementSystem
http://rs.tdwg.org/ltc/terms/version/collectionName-2023-08-01,collectionName
http://rs.tdwg.org/ltc/terms/version/conditionsOfAccess-2023-08-01,conditionsOfAccess
http://rs.tdwg.org/ltc/terms/version/degreeOfEstablishment-2023-08-01,degreeOfEstablishment
http://rs.tdwg.org/ltc/terms/version/description-2023-08-01,description
http://rs.tdwg.org/ltc/terms/version/discipline-2023-08-01,discipline
http://rs.tdwg.org/ltc/terms/version/hasChronometricAge-2023-08-01,hasChronometricAge
http://rs.tdwg.org/ltc/terms/version/hasCollectionStatusHistory-2023-08-01,hasCollectionStatusHistory
http://rs.tdwg.org/ltc/terms/version/hasEcologicalContext-2023-08-01,hasEcologicalContext
http://rs.tdwg.org/ltc/terms/version/hasEvent-2023-08-01,hasEvent
http://rs.tdwg.org/ltc/terms/version/hasGeographicContext-2023-08-01,hasGeographicContext
http://rs.tdwg.org/ltc/terms/version/hasGeologicalContext-2023-08-01,hasGeologicalContext
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasObjectClassification-2023-08-01,hasObjectClassification
http://rs.tdwg.org/ltc/terms/version/hasOrganisationalUnit-2023-08-01,hasOrganisationalUnit
http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,hasPersonRole
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasResourceRelationship-2023-08-01,hasResourceRelationship
http://rs.tdwg.org/ltc/terms/version/hasStorageLocation-2023-08-01,hasStorageLocation
http://rs.tdwg.org/ltc/terms/version/hasTaxon-2023-08-01,hasTaxon
http://rs.tdwg.org/ltc/terms/version/isCurrentCollection-2023-08-01,isCurrentCollection
http://rs.tdwg.org/ltc/terms/version/isKnownToContainTypes-2023-08-01,isKnownToContainTypes
http://rs.tdwg.org/ltc/terms/version/material-2023-08-01,material
http://rs.tdwg.org/ltc/terms/version/objectType-2023-08-01,objectType
http://rs.tdwg.org/ltc/terms/version/period-2023-08-01,period
http://rs.tdwg.org/ltc/terms/version/preparationType-2023-08-01,preparationType
http://rs.tdwg.org/ltc/terms/version/preservationMethod-2023-08-01,preservationMethod
http://rs.tdwg.org/ltc/terms/version/preservationMode-2023-08-01,preservationMode
http://rs.tdwg.org/ltc/terms/version/typeOfObjectGroup-2023-08-01,typeOfObjectGroup
http://rs.tdwg.org/ltc/terms/version/OrganisationalUnit-2023-08-01,OrganisationalUnit
http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,hasAddress
http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,hasContactDetail
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasParentOrganisationalUnit-2023-08-01,hasParentOrganisationalUnit
http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,hasPersonRole
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/organisationalUnitName-2023-08-01,organisationalUnitName
http://rs.tdwg.org/ltc/terms/version/organisationalUnitType-2023-08-01,organisationalUnitType
http://rs.tdwg.org/ltc/terms/version/Person-2023-08-01,Person
http://rs.tdwg.org/ltc/terms/version/additionalName-2023-08-01,additionalName
http://rs.tdwg.org/ltc/terms/version/familyName-2023-08-01,familyName
http://rs.tdwg.org/ltc/terms/version/fullName-2023-08-01,fullName
http://rs.tdwg.org/ltc/terms/version/givenName-2023-08-01,givenName
http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,hasAddress
http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,hasContactDetail
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/PersonRole-2023-08-01,PersonRole
http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,hasAddress
http://rs.tdwg.org/ltc/terms/version/hasContactDetail-2023-08-01,hasContactDetail
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasPerson-2023-08-01,hasPerson
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasRole-2023-08-01,hasRole
http://rs.tdwg.org/ltc/terms/version/hasTemporalCoverage-2023-08-01,hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/version/RecordLevel-2023-08-01,RecordLevel
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasObjectGroup-2023-08-01,hasObjectGroup
http://rs.tdwg.org/ltc/terms/version/hasPersonRole-2023-08-01,hasPersonRole
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/hasResourceRelationship-2023-08-01,hasResourceRelationship
http://rs.tdwg.org/ltc/terms/version/isDerivedCollection-2023-08-01,isDerivedCollection
http://rs.tdwg.org/ltc/terms/version/license-2023-08-01,license
http://rs.tdwg.org/ltc/terms/version/rights-2023-08-01,rights
http://rs.tdwg.org/ltc/terms/version/rightsHolder-2023-08-01,rightsHolder
http://rs.tdwg.org/ltc/terms/version/Reference-2023-08-01,Reference
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/referenceDetails-2023-08-01,referenceDetails
http://rs.tdwg.org/ltc/terms/version/referenceName-2023-08-01,referenceName
http://rs.tdwg.org/ltc/terms/version/referenceType-2023-08-01,referenceType
http://rs.tdwg.org/ltc/terms/version/resourceURI-2023-08-01,resourceURI
http://rs.tdwg.org/ltc/terms/version/ResourceRelationship-2023-08-01,ResourceRelationship
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/relatedResourceID-2023-08-01,relatedResourceID
http://rs.tdwg.org/ltc/terms/version/relatedResourceName-2023-08-01,relatedResourceName
http://rs.tdwg.org/ltc/terms/version/relationshipAccordingTo-2023-08-01,relationshipAccordingTo
http://rs.tdwg.org/ltc/terms/version/relationshipEstablishedDate-2023-08-01,relationshipEstablishedDate
http://rs.tdwg.org/ltc/terms/version/relationshipOfResource-2023-08-01,relationshipOfResource
http://rs.tdwg.org/ltc/terms/version/relationshipRemarks-2023-08-01,relationshipRemarks
http://rs.tdwg.org/ltc/terms/version/resourceID-2023-08-01,resourceID
http://rs.tdwg.org/ltc/terms/version/Role-2023-08-01,Role
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/roleName-2023-08-01,roleName
http://rs.tdwg.org/ltc/terms/version/SchemeMeasurementOrFact-2023-08-01,SchemeMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/isMandatoryMetric-2023-08-01,isMandatoryMetric
http://rs.tdwg.org/ltc/terms/version/isRepeatableMetric-2023-08-01,isRepeatableMetric
http://rs.tdwg.org/ltc/terms/version/schemeMeasurementType-2023-08-01,schemeMeasurementType
http://rs.tdwg.org/ltc/terms/version/SchemeTerm-2023-08-01,SchemeTerm
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/isMandatoryTerm-2023-08-01,isMandatoryTerm
http://rs.tdwg.org/ltc/terms/version/isRepeatableTerm-2023-08-01,isRepeatableTerm
http://rs.tdwg.org/ltc/terms/version/termName-2023-08-01,termName
http://rs.tdwg.org/ltc/terms/version/StorageLocation-2023-08-01,StorageLocation
http://rs.tdwg.org/ltc/terms/version/hasAddress-2023-08-01,hasAddress
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasParentStorageLocation-2023-08-01,hasParentStorageLocation
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/locationDescription-2023-08-01,locationDescription
http://rs.tdwg.org/ltc/terms/version/locationName-2023-08-01,locationName
http://rs.tdwg.org/ltc/terms/version/locationType-2023-08-01,locationType
http://rs.tdwg.org/ltc/terms/version/Taxon-2023-08-01,Taxon
http://rs.tdwg.org/ltc/terms/version/genus-2023-08-01,genus
http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,hasIdentifier
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/kingdom-2023-08-01,kingdom
http://rs.tdwg.org/ltc/terms/version/scientificName-2023-08-01,scientificName
http://rs.tdwg.org/ltc/terms/version/taxonRank-2023-08-01,taxonRank
http://rs.tdwg.org/ltc/terms/version/TemporalCoverage-2023-08-01,TemporalCoverage
http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,hasReference
http://rs.tdwg.org/ltc/terms/version/temporalCoverageEndDateTime-2023-08-01,temporalCoverageEndDateTime
http://rs.tdwg.org/ltc/terms/version/temporalCoverageStartDateTime-2023-08-01,temporalCoverageStartDateTime
http://rs.tdwg.org/ltc/terms/version/temporalCoverageType-2023-08-01,temporalCoverageType
